Raison sociale;SIREN;Annee;Poste;Scope;CO2 (en tonnes équivalent CO2);CH4 (en tonnes équivalent CO2);N2O (en tonnes équivalent CO2);Autres gaz (en tonnes équivalent CO2);Total (en tonnes équivalent CO2);CO2 Biogenique (en tonnes équivalent CO2)
SNCF Réseau;412280737;2021;6.1 Autres émissions directes;3;;19.64591703;391.0554723;;;
Fret SNCF;518697685;2021;4.1 & 4.5 Achat de biens et de services;3;23580.153312641818;;;;24252.381480390817;
SNCF Holding;552049447;2021;4.3 Gestion des déchets;3;;;;;;
SNCF Voyageurs;519037584;2021;1.5 Émissions issues de la biomasse (sols et forêts);1;;;;;;
SNCF Voyageurs;519037584;2021;3.4 Déplacements des visiteurs et des clients;3;913980.987838792;107.07985902000001;835.5110075999999;;914923.578705412;
SNCF Gares et Connexions;507523801;2021;3.3 Déplacements domicile-travail;3;2668.0818500000005;0.02625851622;0.00033803235;0.03356475795;2668.0818500000005;
SNCF Gares et Connexions;507523801;2021;5.2 Actifs en leasing aval;3;;;;;;
SNCF Réseau;412280737;2021;3.1 Transport de marchandise amont;3;;;;;;
SNCF Réseau;412280737;2021;5.1 Utilisation des produits vendus;3;;;;;;
Fret SNCF;518697685;2021;6.1 Autres émissions directes;3;;4.0253802864;13.663526964;;;
SNCF Holding;552049447;2021;5.3 Fin de vie des produits vendus;3;;;;;;
SNCF Voyageurs;519037584;2021;3.2 Transport de marchandise aval;3;;;;;;
SNCF Voyageurs;519037584;2021;3.5 Déplacements professionnels;3;96.274821247;1.0887535000200002;0.00837405747;1.36802295753;98.73997176202;16.91873272775
SNCF Gares et Connexions;507523801;2021;1.2 Émissions directes des sources mobiles de combustion;1;2978.799625;;;3916.5601000000006;3005.514757603;189.1863718807
SNCF Gares et Connexions;507523801;2021;3.4 Déplacements des visiteurs et des clients;3;166974.0548582861;194.40066955810812;52.47827762243244;663.0364864864865;166974.0548582861;
SNCF Gares et Connexions;507523801;2021;5.3 Fin de vie des produits vendus;3;;;;;;
SNCF Réseau;412280737;2021;3.5 Déplacements professionnels;3;30.266222372;;;;31.0314334428;5.31850743172
Fret SNCF;518697685;2021;1.1 Émissions directes des sources fixes de combustion;1;4715.409743;;;;4734.689499501799;
Fret SNCF;518697685;2021;4.3 Gestion des déchets;3;;;;;;
SNCF Holding;552049447;2021;4.4 Actifs en leasing amont;3;;;;;;
SNCF Holding;552049447;2021;5.1 Utilisation des produits vendus;3;;;;;;
SNCF Voyageurs;519037584;2021;2.2 Émissions indirectes liées à la consommation d'énergie autre que l'électricité;2;1336.9684477272729;;;;1336.9684477272729;
SNCF Réseau;412280737;2021;2.2 Émissions indirectes liées à la consommation d'énergie autre que l'électricité;2;397.14715;;;;397.14715;
SNCF Holding;552049447;2021;3.5 Déplacements professionnels;3;26.517744169;;;;27.19821647814;4.65960287345
SNCF Holding;552049447;2021;4.2 Immobilisation de biens;3;5936.92284939697;;;;5936.92284939697;
SNCF Gares et Connexions;507523801;2021;6.1 Autres émissions directes;3;7.348000000000001;29.6368005;583.6406033999999;;7.348000000000001;
SNCF Holding;552049447;2021;2.1 Émissions indirectes liées à la consommation d'électricité;2;2827.4184587;;;;2827.4184587;
SNCF Voyageurs;519037584;2021;6.1 Autres émissions directes;3;;2.4578798530000006;24.25725275;;;
SNCF Réseau;412280737;2021;2.1 Émissions indirectes liées à la consommation d'électricité;2;11898.566713549999;;;;11898.566713549999;
SNCF Holding;552049447;2021;5.4 Investissements;3;;;;;;
SNCF Voyageurs;519037584;2021;1.2 Émissions directes des sources mobiles de combustion;1;26312.3523977;12.735677073954545;214.73305374518182;;26539.821128519136;1254.0144312643845
SNCF Voyageurs;519037584;2021;4.3 Gestion des déchets;3;1831.200412416;;;;1831.200412416;
SNCF Voyageurs;519037584;2021;5.2 Actifs en leasing aval;3;;;;;;
SNCF Gares et Connexions;507523801;2021;5.1 Utilisation des produits vendus;3;;;;;;
SNCF Réseau;412280737;2021;1.1 Émissions directes des sources fixes de combustion;1;33618.680780720715;;;;33750.76397344261;
SNCF Réseau;412280737;2021;1.2 Émissions directes des sources mobiles de combustion;1;71777.98076;;;66.74;72391.2581639;3893.5258235798
SNCF Réseau;412280737;2021;4.3 Gestion des déchets;3;;;;;;
Fret SNCF;518697685;2021;5.1 Utilisation des produits vendus;3;;;;;;
SNCF Gares et Connexions;507523801;2021;1.4 Émissions directes fugitives;1;;;;;3957.9071000000004;0.015
SNCF Réseau;412280737;2021;3.3 Déplacements domicile-travail;3;90052.969291872;0.3352310492;0.00243074484;0.42754927676;90052.969291872;
Fret SNCF;518697685;2021;3.2 Transport de marchandise aval;3;;;;;;
Fret SNCF;518697685;2021;5.2 Actifs en leasing aval;3;;;;;;
Fret SNCF;518697685;2021;5.4 Investissements;3;;;16.885950405405406;;;
SNCF Holding;552049447;2021;4.1 & 4.5 Achat de biens et de services;3;45913.61672581025;;;;46511.70776709283;
SNCF Holding;552049447;2021;6.1 Autres émissions directes;3;;;;;;
SNCF Holding;552049447;2021;1.4 Émissions directes fugitives;1;;;;;70.2;
SNCF Voyageurs;519037584;2021;4.1 & 4.5 Achat de biens et de services;3;914077.262660039;108.16861252002002;835.5193816574698;1.36802295753;754827.0;
SNCF Gares et Connexions;507523801;2021;2.1 Émissions indirectes liées à la consommation d'électricité;2;8373.6040399;;;;8373.6040399;
SNCF Réseau;412280737;2021;4.1 & 4.5 Achat de biens et de services;3;1104723.8478559505;;;;1107718.451250279;
SNCF Gares et Connexions;507523801;2021;4.2 Immobilisation de biens;3;26875.1730230503;;;;26875.1730230503;
SNCF Réseau;412280737;2021;4.4 Actifs en leasing amont;3;;;;;;
Fret SNCF;518697685;2021;1.2 Émissions directes des sources mobiles de combustion;1;48169.96531;;;27.3;48580.66669933001;1779.8623953459999
Fret SNCF;518697685;2021;2.1 Émissions indirectes liées à la consommation d'électricité;2;15069.164011;;;;15069.164011;
SNCF Holding;552049447;2021;1.2 Émissions directes des sources mobiles de combustion;1;1673.5650208;;;70.2;1691.2539280504;108.74485867018001
