Transporteur;Origine;Origine_uic;Destination;Destination_uic;Distance entre les gares;Train - Empreinte carbone (kgCO2e);Distance routière;Autocar longue distance - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e);Distance aérienne;Avion - Empreinte carbone (kgCO2e)
TGV;Lille Europe;87223263;Bruxelles Midi Brussel Zuid;88140010;107.0;0.2675;112.0;3.696;1.008;6.832;;
Intercités;Paris-Austerlitz;87547000;Brive-la-Gaillarde;87594002;498.0;2.5397999999999996;484.0;15.972;4.356;29.524;;
Intercités;Paris-Austerlitz;87547000;Limoges-Bénédictins;87592006;400.0;2.0399999999999996;392.0;12.936;3.528;23.912;;
Intercités;Paris-Gare-de-Lyon;87686006;Clermont-Ferrand;87734004;419.0;2.1369;424.0;13.992;3.816;25.864;348.0;42.804
International;Paris Gare de Lyon;87686006;Oulx Cesana Clav Sestriere;83002048;660.0;5.874;698.0;23.034;6.282;42.578;;
International;Paris Nord;88194060;Koeln HBF;80154583;823.0;6.6663;498.0;16.434;4.482;30.378;;
International;Paris Est;87113001;Stuttgart HBF;80290346;608.0;4.9248;622.0;20.526;5.598;37.942;503.0;61.869
International;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;310.0;1.798;287.0;9.471;2.583;17.507;241.0;29.643
International;Paris Est;87113001;Freiburg Breisgau HBF;80143503;530.0;4.293;596.0;19.668;5.364;36.356;;
International;Paris Gare de Lyon;87686006;Geneve;85010082;503.0;1.509;541.0;17.853;4.869;33.001;412.0;50.676
International;Paris Gare de Lyon;87686006;Lausanne;85011205;479.0;1.437;520.0;17.16;4.68;31.72;;
International;Lyon Part Dieu;87723197;Bruxelles Midi Brussel Zuid;88140010;751.0;4.3558;716.0;23.628;6.444;43.676;568.0;69.864
TER;Marseille Saint-Charles;87751008;Nice Ville;87756056;224.0;4.345599999999999;207.0;6.831;1.863;12.627;;
TER;Geneve;85010082;Lyon Perrache;87722025;162.0;3.1428;150.0;4.95;1.35;9.15;;
TER;Belfort;87184002;Besançon Franche Comté;87300863;96.0;1.8623999999999998;99.0;3.267;0.891;6.039;;
TER;Nancy Ville;87141002;Strasbourg Ville;87212027;150.0;2.91;157.0;5.181;1.413;9.577;;
TER;Paris Saint-Lazare;87384008;Trouville-Deauville;87444372;219.0;4.2486;213.0;7.029;1.917;12.993;;
TER;Le Havre Gare locale;87413013;Rouen Rive Droite;87411017;88.0;1.7071999999999998;92.0;3.036;0.828;5.612;;
TGV;Paris Gare de Lyon;87686006;Saint-Raphaël;87757526;908.65;2.271625;877.0;28.941;7.893;53.497;;
TGV;Lille Europe;87223263;Lyon Part Dieu;87723197;645.356;1.6133899999999999;692.0;22.836;6.228;42.212;;
TGV;Paris Montparnasse;87391003;Bayonne;87673004;734.758;1.836895;770.0;25.41;6.93;46.97;;
TGV;Paris Gare de Lyon;87686006;Belfort-Montbéliard TGV;87300822;449.0;1.1225;496.0;16.368;4.464;30.256;;
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;291.0;0.7275;289.0;9.537;2.601;17.629;241.0;29.643
TGV;Aeroport CDG2 TGV Roissy;87271494;Lille Europe;87223263;203.0;0.5075;201.0;6.633;1.809;12.261;;
TGV;Paris Gare de Lyon;87686006;Besançon Franche Comté;87300863;367.0;0.9175;416.0;13.728;3.744;25.376;;
TGV;Paris Montparnasse;87391003;Poitiers;87575001;320.0;0.8;341.0;11.253;3.069;20.801;;
TGV;Lyon Part Dieu;87723197;Montpellier Saint-Roch;87773002;314.0;0.785;303.0;9.999;2.727;18.483;;
TGV;Paris Gare de Lyon;87686006;Toulon;87755009;812.0;2.03;839.0;27.687;7.551;51.179;696.0;85.608
TGV;Paris Est;87113001;Mulhouse;87182063;495.0;1.2375;541.0;17.853;4.869;33.001;392.0;48.216
TGV;Paris Gare de Lyon;87686006;Nice;87756056;971.68;2.4292;934.0;30.822;8.406;56.974;689.0;84.747
TGV;Lyon Part Dieu;87723197;Marseille Saint-Charles;87751008;325.0;0.8125;315.0;10.395;2.835;19.215;277.0;34.071
TGV;Paris Gare du Nord;87271007;Valenciennes;87343004;237.0;0.5925;212.0;6.996;1.908;12.932;;
