Transporteur;Origine;Origine_uic;Destination;Destination_uic;Distance entre les gares;Train - Empreinte carbone (kgCO2e);Distance routière;Autocar longue distance - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e);Distance aérienne;Avion - Empreinte carbone (kgCO2e)
TGV;Lille Europe;87223263;Lyon Part Dieu;87723197;645.356;2.258746;692.0;26.296;65.048;61.588;;
TGV;Paris Gare de Lyon;87686006;Lyon Part Dieu;87723197;429.496;1.5032359999999998;465.0;17.67;43.71;41.385;394.0;49.25
TGV;Paris Montparnasse;87391003;Angers-St-Laud;87484006;303.0;1.0605;301.0;11.438;28.294;26.789;;
TGV;Paris Gare de Lyon;87686006;Grenoble;87747006;556.09;1.946315;576.0;21.888;54.144;51.264;;
TGV;Paris Montparnasse;87391003;La Rochelle;87485003;460.0;1.61;332.0;12.616;31.208;29.548;;
TGV;Paris Gare de Lyon;87686006;Toulon;87755009;812.0;2.842;839.0;31.882;78.866;74.671;696.0;87.0
TGV;Paris Gare du Nord;87271007;Douai;87345009;204.0;0.714;198.0;7.524;18.612;17.622;;
TGV;Paris Est;87113001;Reims;87171009;146.156;0.5115460000000001;145.0;5.51;13.63;12.905;;
TGV;Paris Montparnasse;87391003;Bordeaux Saint-Jean;87581009;537.13;1.8799549999999998;587.0;22.306;55.178;52.243;498.0;62.25
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Lyon Part Dieu;87723197;442.0;1.547;499.0;18.962;46.906;44.411;400.0;50.0
TGV;Paris Gare du Nord;87271007;Dunkerque;87281006;305.0;1.0675;301.0;11.438;28.294;26.789;;
Intercités;Paris Gare de Lyon;87686006;Vichy;87732008;364.0;2.4388;409.0;15.542;38.446;36.401;;
Intercités;Bayonne;87673004;Pau;87672006;106.0;0.7102;113.0;4.294;10.622;10.057;;
Intercités;Paris-Austerlitz;87547000;Limoges-Bénédictins;87592006;400.0;2.68;392.0;14.896;36.848;34.888;;
Intercités;Paris-Austerlitz;87547000;Rodez;87613422;660.0;4.422;660.0;25.08;62.04;58.74;502.0;62.75
Intercités;Lyon-Part-Dieu;87723197;Nantes;87481002;812.0;5.4404;686.0;26.068;64.484;61.054;516.0;64.5
International;Paris Nord;88194060;Koeln HBF;80154583;823.0;7.489299999999999;498.0;18.924;46.812;44.322;;
International;Paris Est;87113001;Mannheim HBF;80140087;581.0;5.2871;524.0;19.912;49.256;46.636;;
International;Paris Gare de Lyon;87686006;Basel SBB;85000109;525.0;2.1;571.0;21.698;53.674;50.819;;
International;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;310.0;2.108;287.0;10.906;26.978;25.543;241.0;30.125
International;Paris Gare de Lyon;87686006;Geneve;85010082;503.0;2.012;541.0;20.558;50.854;48.149;412.0;51.5
International;Paris Est;87113001;Luxembourg;82001000;373.0;2.5364;374.0;14.212;35.156;33.286;296.0;37.0
International;Paris Gare de Lyon;87686006;Lausanne;85011205;479.0;1.916;520.0;19.76;48.88;46.28;;
International;Chambery Challes-les-Eaux;87741009;Torino Porta Susa;83002220;202.0;1.9998000000000002;208.0;7.904;19.552;18.512;;
TER;Arcachon;87582668;Bordeaux Saint-Jean;87581009;58.0;1.3804;74.0;2.812;6.956;6.586;;
TER;Paris Saint-Lazare;87384008;Le Havre Gare locale;87413013;228.0;5.4264;211.0;8.018;19.834;18.779;;
TER;Paris Nord;87271007;Compiègne;87276691;84.0;1.9992;82.0;3.116;7.708;7.298;;
TER;Le Havre Gare locale;87413013;Rouen Rive Droite;87411017;88.0;2.0944000000000003;92.0;3.496;8.648;8.188;;
TGV;Paris Nord;87271007;Calais Ville;87317263;335.0;1.1725;297.0;11.286;27.918;26.433;;
TGV;Paris Gare de Lyon;87686006;Montpellier Saint-Roch;87773002;738.861;2.5860135;749.0;28.462;70.406;66.661;596.0;74.5
TGV;Paris Montparnasse;87391003;Arcachon;87582668;595.0;2.0825;650.0;24.7;61.1;57.85;;
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Bruxelles Midi Brussel Zuid;88140010;291.0;1.0185;289.0;10.982;27.166;25.721;241.0;30.125
TGV;Paris Gare de Lyon;87686006;Chambéry - Challes-les-Eaux;87741009;531.951;1.8618285;571.0;21.698;53.674;50.819;;
TGV;Paris Gare de Lyon;87686006;Marseille Saint-Charles;87751008;750.138;2.625483;775.0;29.45;72.85;68.975;662.0;82.75
TGV;Aeroport CDG2 TGV Roissy;87271494;Lille Europe;87223263;203.0;0.7105;201.0;7.638;18.894;17.889;;
TGV;Paris Montparnasse;87391003;Saint-Pierre-des-Corps;87571240;221.0;0.7735;239.0;9.082;22.466;21.271;;
TGV;Paris Gare de Lyon;87686006;Dijon;87713040;290.0;1.015;315.0;11.97;29.61;28.035;;
TGV;Lyon Part Dieu;87723197;Marseille Saint-Charles;87751008;325.0;1.1375;315.0;11.97;29.61;28.035;277.0;34.625
TGV;Paris Montparnasse;87391003;Angoulême;87583005;428.0;1.498;450.0;17.1;42.3;40.05;;
TGV;Paris Est;87113001;Metz;87192039;352.0;1.232;332.0;12.616;31.208;29.548;;
TGV;Paris Est;87113001;Nancy;87141002;367.0;1.2845;386.0;14.668;36.284;34.354;;
International;Paris Gare de Lyon;87686006;Oulx Cesana Clav Sestriere;83002048;660.0;6.534;698.0;26.524;65.612;62.122;;
International;Paris Gare de Lyon;87686006;Torino Porta Susa;83002220;734.0;7.2666;776.0;29.488;72.944;69.064;586.0;73.25
International;Paris Gare de Lyon;87686006;Milano P Garibaldi;83016451;877.0;8.682300000000001;913.0;34.694;85.822;81.257;642.0;80.25
International;Paris Est;87113001;Freiburg Breisgau HBF;80143503;530.0;4.823;596.0;22.648;56.024;53.044;;
TER;Rennes;87471003;Brest;87474007;249.0;5.9262;244.0;9.272;22.936;21.716;;
TER;Paris Saint-Lazare;87384008;Caen;87444000;239.0;5.6882;249.0;9.462;23.406;22.161;;
TER;Paris Saint-Lazare;87384008;Trouville-Deauville;87444372;219.0;5.2122;213.0;8.094;20.022;18.957;;
TER;Dijon Ville;87713040;Lyon Part-Dieu;87723197;192.0;4.5696;194.0;7.372;18.236;17.266;;
