"Night Train","🗣️ Name","Itinerary","More details","🚂 Route","🌍 Countries","🏢 Operator","🎫 Tickets"
"UZ 192 P + 192 Š",,"Kramatorsk – Odesa","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=210"">View details</a>","192 P: Kramatorsk - Sloviansk - Dnipro Holovny - Oleksandriia - Podilsk - Odesa Holovna<br><br>192 Š: Odesa Holovna - Podilsk - Oleksandriia - Dnipro Holovny - Sloviansk - Kramatorsk","UA","UZ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://booking.uz.gov.ua/en/"">Book tickets</a>"
"UZ 194 L + 194 P",,"Yasinia – Kryvyi Rih","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=201"">View details</a>","194 L: Yasinia - Vorokhta - Ivano-Frankivsk - Lviv - Kyiv Pasazhyrskyi - Oleksandriia - Kryvyi Rih<br><br>194 P: Kryvyi Rih - Oleksandriia - Kyiv Pasazhyrskyi - Lviv - Ivano-Frankivsk - Vorokhta - Yasinia","UA","UZ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://booking.uz.gov.ua/en/"">Book tickets</a>"
"UZ 357 + 358",,"Kyiv – Yasinia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=196"">View details</a>","357: Kyiv Pasazhyrskyi - Fastiv - Vinnytsia - Khmelnytskyi - Ternopil - Vorokhta - Yasinia<br><br>358: Yasinia - Vorokhta - Ternopil - Khmelnytskyi - Vinnytsia - Fastiv - Kyiv Pasazhyrskyi","UA","UZ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://booking.uz.gov.ua/en/"">Book tickets</a>"
"UZ/CFM 351 K + 351 L",,"Kyiv – Chişinău","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=195"">View details</a>","351 K: Kyiv Pasazhyrskyi - Vinnytsia - Zhmerynka - Ungheni - Chişinău<br><br>351 L: Chişinău - Ungheni - Zhmerynka - Vinnytsia - Kyiv Pasazhyrskyi","UA, MD","UZ, CFM","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://booking.uz.gov.ua/en/"">Book tickets</a>"
"UZ/ÖBB 40149 + 40749",,"Wien – Kyiv","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=60"">View details</a>","40149: Wien Hbf - Hegyeshalom - Győr - Budapest Kelenföld - Budapest Keleti - Szolnok - Debrecen - Nyíregyháza - Chop - Mukacheve - Stryj - Lviv - Kyiv Pasazhyrskyi<br><br>40749: Kyiv Pasazhyrskyi - Lviv - Stryj - Mukacheve - Chop - Nyíregyháza - Debrecen - Szolnok - Budapest Keleti - Budapest Kelenföld - Győr - Hegyeshalom - Wien Hbf","AT, HU, UA","UZ, ÖBB","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://booking.uz.gov.ua/en/"">Book tickets</a>"
"VR IC 265 + IC 274",,"Helsinki – Kemijärvi","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=72"">View details</a>","IC 265: Helsinki / Helsingfors - Tampere - Oulu - Rovaniemi - Kemijärvi<br><br>IC 274: Kemijärvi - Rovaniemi - Oulu - Tampere - Helsinki / Helsingfors","FI","VR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.vr.fi/en/"">Book tickets</a>"
"VR IC 266 (H) + IC 273",,"Rovaniemi – Helsinki","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=91"">View details</a>","IC 266 (H): Rovaniemi - Oulu - Helsinki / Helsingfors<br><br>IC 273: Helsinki / Helsingfors - Oulu - Rovaniemi","FI","VR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.vr.fi/en/"">Book tickets</a>"
"VR IC 266 (T) + IC 933",,"Rovaniemi – Turku","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=90"">View details</a>","IC 266 (T): Rovaniemi - Oulu - Tampere - Turku / Åbo<br><br>IC 933: Turku / Åbo - Tampere - Oulu - Rovaniemi","FI","VR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.vr.fi/en/"">Book tickets</a>"
"VR P 269 + P 276",,"Helsinki – Kolari","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=98"">View details</a>","P 269: Helsinki / Helsingfors - Tampere - Oulu - Kolari<br><br>P 276: Kolari - Oulu - Tampere - Helsinki / Helsingfors","FI","VR","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.vr.fi/en/"">Book tickets</a>"
"VY 605 + 606","F4","Oslo – Bergen","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=69"">View details</a>","605: Oslo S - Drammen - Bergen<br><br>606: Bergen - Drammen - Oslo S","NO","VY","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.vy.se/"">Book tickets</a>"
"ŽS/ŽPCG 433 + 1130 / 432","Lovćen","Beograd – Bar","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=130"">View details</a>","433: Beograd Centar - Rakovica - Lazarevac - Lajkovac - Valjevo - Kosjerić - Požega - Užice - Priboj - Kolašin - Podgorica - Golubovci - Sutomore - Sutomore - Bar<br><br>1130 / 432: Bar - Sutomore - Golubovci - Podgorica - Kolašin - Mojkovac - Bijelo Polje - Prijepolje teretna - Prijepolje - Valjevo - Lajkovac - Lazarevac - Rakovica - Rakovica - Beograd Centar","RS, ME","ŽS, ŽPCG","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""http://www.zcg-prevoz.me/search"">Book tickets</a>"
"ZSSK R 614 + R 615","Zemplín","Strážske – Bratislava","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=123"">View details</a>","R 614: Strážske - Košice - Poprad Tatry - Trnava - Bratislava hl.st.<br><br>R 615: Bratislava hl.st. - Trnava - Košice - Strážske","SK","ZSSK","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.zssk.sk/en/night-trains/"">Book tickets</a>"
"ZSSK R800 / EC282 + EC 283 / R801","Metropolitan / Poľana","Košice – Praha","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=8"">View details</a>","R800 / EC282: Košice - Zvolen - Bratislava hl.st. - Nové Zámky - Bratislava hl.st. - Břeclav - Brno hl.n. - Pardubice hl.n. - Praha hl.n.<br><br>EC 283 / R801: Praha hl.n. - Pardubice hl.n. - Brno hl.n. - Břeclav - Bratislava hl.st. - Nové Zámky - Zvolen - Košice","SK, CZ","ZSSK","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.zssk.sk/en/night-trains/"">Book tickets</a>"
"ZSSK EN 442 + EN 443",,"Michalovce – Praha","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=6"">View details</a>","EN 442: Michalovce - Košice - Poprad Tatry - Olomouc hl.n. - Pardubice hl.n. - Praha hl.n.<br><br>EN 443: Praha hl.n. - Pardubice hl.n. - Olomouc hl.n. - Poprad Tatry - Košice - Michalovce","SK, CZ","ZSSK","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.zssk.sk/en/night-trains/"">Book tickets</a>"
"ZSSK EN 1152 + EN 1153",,"Split – Bratislava","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=115"">View details</a>","EN 1152: Split - Knin - Zagreb Gl. K. - Maribor - Graz Hbf - Bruck an der Mur - Wiener Neustadt Hbf - Wien Meidling - Wien Hbf - Wien Hbf (Autoreisezuganlage) - Bratislava Petržalka - Bratislava Nové Mesto<br><br>EN 1153: Bratislava Nové Mesto - Bratislava Petržalka - Wien Hbf - Wien Meidling - Wiener Neustadt Hbf - Bruck an der Mur - Graz Hbf - Maribor - Zagreb Gl. K. - Knin - Split","SK, AT, SI, HR","ZSSK","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.nightjet.com/"">Book tickets</a>"
